,Year Released,Year Reviewed,Race,Age,Degree,Offense,SubOffense,District,Release Type,Relapse,HopefulCase
0,2010,2013,White,0,D Felony,Violent,Assault,4JD,Parole,1,1
1,2010,2013,White,4,D Felony,Public Order,OWI,7JD,Parole,1,1
2,2010,2013,White,1,D Felony,Property,Burglary,5JD,Parole,1,1
3,2010,2013,White,4,C Felony,Drug,Trafficking,8JD,Parole,1,1
4,2010,2013,Black,1,D Felony,Drug,Trafficking,3JD,Parole,1,1
6,2010,2013,White,3,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,3JD,Parole,1,1
7,2010,2013,White,3,D Felony,Property,Burglary,1JD,Parole,1,1
8,2010,2013,White,3,Aggravated Misdemeanor,Violent,Other Violent,5JD,Parole,1,1
9,2010,2013,White,3,C Felony,Violent,Robbery,8JD,Parole,1,1
10,2010,2013,White,2,Aggravated Misdemeanor,Property,Theft,4JD,Parole,1,1
11,2010,2013,White,3,D Felony,Public Order,OWI,3JD,Parole,1,1
14,2010,2013,Black,3,D Felony,Violent,Sex,8JD,Special Sentence,1,1
15,2010,2013,White,0,D Felony,Drug,Trafficking,4JD,Parole,1,1
16,2010,2013,White,1,C Felony,Drug,Trafficking,3JD,Parole,1,1
17,2010,2013,White,1,D Felony,Property,Theft,5JD,Parole,1,1
18,2010,2013,White,0,Aggravated Misdemeanor,Violent,Sex,4JD,Special Sentence,1,1
19,2010,2013,White,1,Felony - Enhanced,Drug,Trafficking,7JD,Parole,1,1
22,2010,2013,Black,3,D Felony,Public Order,Sex Offender Registry/Residency,7JD,Parole,1,1
23,2010,2013,White,0,D Felony,Property,Vandalism,2JD,Parole,1,1
24,2010,2013,White,2,C Felony,Drug,Trafficking,5JD,Parole,1,1
25,2010,2013,White,1,D Felony,Drug,Other Drug,3JD,Parole,1,1
26,2010,2013,White,2,C Felony,Drug,Trafficking,5JD,Parole,1,1
27,2010,2013,White,2,D Felony,Drug,Drug Possession,8JD,Parole,1,1
29,2010,2013,White,1,C Felony,Drug,Trafficking,2JD,Parole,1,1
30,2010,2013,White,2,D Felony,Violent,Sex,5JD,Special Sentence,1,1
31,2010,2013,White,1,D Felony,Property,Forgery/Fraud,6JD,Parole,1,1
32,2010,2013,White,1,D Felony,Property,Forgery/Fraud,7JD,Parole,1,1
33,2010,2013,Hispanic,1,D Felony,Property,Theft,5JD,Parole,1,1
34,2010,2013,White,2,D Felony,Property,Forgery/Fraud,3JD,Parole,1,1
35,2010,2013,White,0,D Felony,Violent,Sex,5JD,Special Sentence,1,1
36,2010,2013,White,2,D Felony,Drug,Drug Possession,5JD,Parole,1,1
37,2010,2013,Black,0,D Felony,Violent,Sex,7JD,Special Sentence,1,1
38,2010,2013,White,0,D Felony,Drug,Trafficking,5JD,Parole,1,1
39,2010,2013,White,1,D Felony,Violent,Sex,7JD,Special Sentence,1,1
40,2010,2013,White,1,C Felony,Violent,Other Violent,5JD,Parole,1,1
41,2010,2013,White,1,D Felony,Violent,Assault,5JD,Parole,1,1
42,2010,2013,White,1,C Felony,Property,Burglary,5JD,Parole,1,1
43,2010,2013,White,3,D Felony,Violent,Assault,6JD,Parole,1,1
44,2010,2013,White,0,D Felony,Drug,Trafficking,5JD,Parole,1,1
45,2010,2013,White,3,D Felony,Violent,Sex,3JD,Special Sentence,1,1
46,2010,2013,Black,2,D Felony,Public Order,OWI,6JD,Parole,1,1
47,2010,2013,White,0,D Felony,Property,Theft,3JD,Parole,1,1
48,2010,2013,White,0,Aggravated Misdemeanor,Violent,Sex,3JD,Special Sentence,1,1
51,2010,2013,Black,1,Aggravated Misdemeanor,Violent,Assault,1JD,Special Sentence,1,1
52,2010,2013,White,3,Aggravated Misdemeanor,Drug,Trafficking,5JD,Parole,1,1
53,2010,2013,White,1,C Felony,Violent,Assault,5JD,Parole,1,1
54,2010,2013,American Indian or Alaska Native,0,Aggravated Misdemeanor,Property,Theft,6JD,Special Sentence,1,1
56,2010,2013,White,1,C Felony,Drug,Trafficking,4JD,Parole,1,1
57,2010,2013,White,1,C Felony,Drug,Trafficking,5JD,Parole,1,1
58,2010,2013,White,2,C Felony,Drug,Trafficking,3JD,Parole,1,1
59,2010,2013,Hispanic,3,D Felony,Violent,Assault,4JD,Parole,1,1
61,2010,2013,White,2,C Felony,Property,Arson,5JD,Parole,1,1
63,2010,2013,American Indian or Alaska Native,1,D Felony,Violent,Assault,3JD,Parole,1,1
64,2010,2013,White,2,D Felony,Public Order,Flight/Escape,3JD,Parole,1,1
65,2010,2013,White,2,Aggravated Misdemeanor,Violent,Assault,5JD,Parole,1,1
66,2010,2013,White,3,D Felony,Property,Burglary,4JD,Parole,1,1
67,2010,2013,American Indian or Alaska Native,2,C Felony,Property,Burglary,7JD,Parole,1,1
70,2010,2013,White,1,C Felony,Property,Theft,7JD,Parole,1,1
71,2010,2013,White,0,D Felony,Property,Forgery/Fraud,5JD,Parole,1,1
72,2010,2013,White,4,Aggravated Misdemeanor,Public Order,Traffic,2JD,Parole,1,1
73,2010,2013,White,1,D Felony,Violent,Sex,4JD,Special Sentence,1,1
74,2010,2013,White,2,C Felony,Drug,Trafficking,4JD,Parole,1,1
75,2010,2013,White,1,C Felony,Violent,Sex,1JD,Special Sentence,1,1
76,2010,2013,White,0,D Felony,Property,Burglary,3JD,Parole,1,1
77,2010,2013,White,0,D Felony,Property,Vandalism,3JD,Parole,1,1
79,2010,2013,Hispanic,1,C Felony,Violent,Sex,7JD,Special Sentence,1,1
80,2010,2013,White,1,C Felony,Drug,Trafficking,2JD,Parole,1,1
81,2010,2013,White,1,D Felony,Property,Theft,5JD,Parole,1,1
82,2010,2013,White,3,C Felony,Property,Theft,5JD,Parole,1,1
84,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,5JD,Parole,1,1
85,2010,2013,White,2,C Felony,Property,Theft,5JD,Parole,1,1
86,2010,2013,White,1,D Felony,Property,Forgery/Fraud,2JD,Parole,1,1
87,2010,2013,White,4,Felony - Enhanced,Drug,Trafficking,8JD,Parole,1,1
89,2010,2013,White,2,Aggravated Misdemeanor,Violent,Sex,5JD,Special Sentence,1,1
90,2010,2013,White,0,Aggravated Misdemeanor,Property,Burglary,8JD,Parole,1,1
91,2010,2013,White,3,D Felony,Property,Burglary,5JD,Parole,1,1
92,2010,2013,Black,1,D Felony,Drug,Drug Possession,3JD,Parole,1,1
93,2010,2013,Black,3,Felony - Enhanced,Drug,Trafficking,6JD,Parole,1,1
94,2010,2013,White,0,Aggravated Misdemeanor,Property,Burglary,5JD,Parole,1,1
95,2010,2013,White,4,D Felony,Public Order,OWI,4JD,Parole,1,1
96,2010,2013,White,3,Felony - Enhanced,Property,Theft,5JD,Parole,1,1
97,2010,2013,White,0,C Felony,Violent,Sex,8JD,Special Sentence,1,1
98,2010,2013,White,1,D Felony,Property,Burglary,1JD,Parole,1,1
99,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,5JD,Parole,1,1
100,2010,2013,White,1,Aggravated Misdemeanor,Other,Special Sentence Revocation,4JD,Special Sentence,1,1
101,2010,2013,White,2,D Felony,Drug,Trafficking,2JD,Parole,1,1
103,2010,2013,White,1,D Felony,Drug,Drug Possession,5JD,Parole,1,1
104,2010,2013,White,2,C Felony,Drug,Trafficking,5JD,Parole,1,1
105,2010,2013,White,2,D Felony,Public Order,Sex Offender Registry/Residency,7JD,Parole,1,1
106,2010,2013,White,0,Aggravated Misdemeanor,Property,Theft,7JD,Parole,1,1
107,2010,2013,White,1,C Felony,Drug,Trafficking,5JD,Parole,1,1
108,2010,2013,White,1,D Felony,Violent,Assault,3JD,Parole,1,1
109,2010,2013,White,0,D Felony,Drug,Trafficking,3JD,Parole,1,1
112,2010,2013,White,1,C Felony,Drug,Trafficking,2JD,Parole,1,1
115,2010,2013,White,1,Felony - Enhanced,Property,Theft,8JD,Parole,1,1
116,2010,2013,White,2,D Felony,Property,Burglary,5JD,Parole,1,1
117,2010,2013,White,1,D Felony,Property,Burglary,4JD,Parole,1,1
119,2010,2013,White,1,Aggravated Misdemeanor,Public Order,Traffic,6JD,Parole,1,1
